company,prefer,location,url,tool
서클플랫폼,"* 이커머스 데이터에 대한 높은 이해도가 있으신 분
* Python을 이용한 백엔드 개발 경험이 있으신 분
* AWS 클라우드 환경에서의 데이터 관련 업무 경험이 있으신 분
* ML / DL 알고리즘을 이용한 모델링 경험이 있으신 분
* Flask, FastAPI 등의 파이썬 웹 프레임워크 개발 경험이 있으신 분
* Slack, Jira, Confluence를 사용하여 협업해본 경험이 있으신 분


선호하는 인재
* 어떤 일이라도 중요하게 여기며 책임감 있게 진행할 수 있으신 분
* 다양한 직군의 동료들과 원활한 협업을 위한 커뮤니케이션 능력이 있으신 분
* 새로운 툴/지식에 대한 두려움이 없고, 빠르게 습득하실 수 있는 분
* 효율적인 코드를 작성하기 위해 깊게 고민하시는 분",서울.한국,https://www.wanted.co.kr/wd/178125,"Github
Flask
Linux
Python
SQL
AWS
FastAPI
ML"
캐롯손해보험,"• BI 툴 활용 및 Hadoop에 대한 연동을 이해하신 분이면 좋아요.
• BI 업무의 보다 효율적인 적용을 위한 경험을 보유하신 분이면 더 좋아요.
• 시스템 구성상 전통적인 리포트툴로 적용하는 것보다 효율적인 오픈소스를 사용한 일부 실시간성 리포트 생성 관리를 하시는 분이면 좋아요.",서울.한국,https://www.wanted.co.kr/wd/177950,"Oracle
SQL"
글래스돔코리아,"• Extensive knowledge and experience of data warehouse systems, DBMS and NoSQL.
• Extensive knowledge and experience in SQL and data modeling.
• Extensive knowledge and experience in ETL/ELT systems such as airflow.
• Experience of Business intelligence tools to analyze data and create visualizations 
   such as Tableau, Power BI and Qlik.
• Experience of Big data platform and processing using tools such as Spark, Kafka,  
   Clickhouse and Druid would be a plus.
• Experience of programming languages such as Python and Golang would be a plus.",서울.한국,https://www.wanted.co.kr/wd/177857,
데이터라이즈,"• 데이터 기반 SaaS 스타트업의 A to Z를 경험하고 싶으신 분
• 새로운 도메인 지식을 배우려는 의지가 있는 분",서울.한국,https://www.wanted.co.kr/wd/177620,"Spark
Python
SQL
AWS"
이제이엔(EJN),"[우대 사항]
• Project Management, Team Management 경력
• Data Analyst, Scientist, Engineer 직군을 아우르는 넓은 실무 경험 및 지식
• SQL, R, Python 등을 활용한 통계 및 머신러닝 프로젝트 경험
• 통계학, 산업공학, 전산학 등 관련 전공
• 게임, 뉴미디어, 팬덤에 대한 이해

[제출서류]
• 자유 양식의 입사 지원서(이력서)
• Github 주소/블로그/포트폴리오/샘플 파일 등의 실무 능력 증빙자료

[전형절차]
• 서류전형＞코딩테스트(Codility)＞1차 실무자&팀 리드(or 부서장) 면접＞2차 임원 면접
• 전형절차는 일정 및 상황에 따라 변동될 수 있습니다.
• 코딩 테스트(Codility)는 문제 해결 능력과 보유하신 스킬을 실무에서 활용 가능하신지를 검증하기 위해 진행하고 있습니다. CS(알고리즘 등) 관련 지식 위주의 테스트가 아니므로 부담 없이 지원해주세요.
• 수습기간 3개월",서울.한국,https://www.wanted.co.kr/wd/177548,
하이퍼라운지,"• 컴퓨터 공학 / 경영 관련 전공자 우대
• 금융SI ,SM 경험자
• SQL 및 스크립팅 / Linux 대한 활용 경험이 있으신 분
• 프로젝트, 실무 등에서 Python, Java등 널리 사용 되는 개발 언어 대한 지식과 경험자 우대
• SAP, 더존ERP 경험자",서울.한국,https://www.wanted.co.kr/wd/177490,
로민,"• ETL / 데이터 관련 인프라 구축 경험
• 리눅스 개발 환경과 Git, Docker 등 기본적인 개발 도구 사용이 익숙한 분이면 좋습니다.
• SW 개발 실무 경험
• 머신러닝 관련 프로젝트 경험
• 관련 분야 석사학위 이상 소지",서울.한국,https://www.wanted.co.kr/wd/177331,"Git
Github
Python
Docker
PostgreSQL"
에이조스바이오,ㆍ신약 개발 관련 인공지능 모델 제작 유경험자,경기.한국,https://www.wanted.co.kr/wd/177009,"VueJS
PHP
Laravel
Vue.JS"
바딧,"• 문제 해결을 위해 머신러닝 알고리즘을 직접 활용하여 연구하고 개발하여 서비스에 반영해 보신 경험이 있으신 분을 우대합니다.
• 센서 데이터, 생체신호 데이터, 시계열 데이터 등을 활용하여 문제를 해결하신 경험이 있으신 분을 우대합니다.
• 임베디드와 머신러닝을 결합하여 프로젝트를 개발한 경험이 있으신 분을 우대합니다.
• 데이터 분석 대회 수상 경력이 있으신 분을 우대합니다.
• 이상치 탐지 등의 기법을 활용하여 문제를 해결한 경험이 있으신 분을 우대합니다.
• Python/Matlab을 능숙하게 사용하신 분을 우대합니다.",서울.한국,https://www.wanted.co.kr/wd/176611,"Github
React
CSS
HTML
JavaScript
PHP
Next.js"
알티엠,"- 반도체 등 제조 공정에 대한 경험 및 이해
- 개념 및 고려 사항을 전달할 수 있는 의사소통 능력
- 정보 및 분석 결과를 효과적으로 전달하기 위한 자료 작성 능력",서울.한국,https://www.wanted.co.kr/wd/176470,"Git
Linux
Pytorch
Python"
웅진씽크빅,"• AWS 환경에 대한 경험이 있으신 분
• Spark, Hadoop, Airflow 등 빅데이터 분산 스택 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/176454,"SAP
Git
JIRA
Android
iOS
Linux
MySQL
Oracle
React
HTML
Java
JavaScript
Node.js
Python
R
SQL
TypeScript
BI
AWS
SQL 서버
REST
API
DevOps
API
데이터 분석
데이터 과학
PostgreSQL
Spring Framework
DLP
프론트엔드 개발자
백엔드 개발
iBatis
ML"
골든플래닛,"ㆍ웹 크롤링(스크래핑) 개발 경험이 있으신 분
ㆍ데이터베이스(RDBMS, NoSQL) 관련 경험이 많으신 분
ㆍGCP 등의 클라우드 기반 서비스 개발 경험이 있으신 분
ㆍDocker, Kubernetes 관련 개발 경험이 있으신 분
ㆍELK stack(Elastic Search, Logstash) 관련 개발경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/176121,"C#
Java
Python
SQL
Data Analysis
BI
Tableau
개발
데이터베이스
SQL 서버
API
모델링
데이터 분석
설계
데이터 구조
데이터베이스 설계
데이터베이스 관리
데이터 입력
데이터 통합
연구 및 개발
데이터베이스 개발
기술 개발
기술 관리
QlikView
데이터 수집
Datastage
연구 설계
모델링 및 시뮬레이션
정부 업무
연구 관리
SQL DB2
SQL Azure
데이터베이스 관리
전자정부프레임워크"
어니스트펀드,"• Python활용 Machine Learning 모형 개발 및 분석 가능하신 분
 • 금융기관 프로젝트(CSS/Basel II 등) 경험이 있으신 분
 • 새로운 개발기술에 관심이 많고, 이를 습득하는데 거부감이 없으신 분",서울.한국,https://www.wanted.co.kr/wd/176033,Python
